"Frag","Ponto","Species","N"
"62",6,"Acropsp1",1
"62",7,"Acropsp1",1
"62",8,"Acropsp1",1
"61",2,"Acropsp1",1
"42",4,"Acropsp1",1
"61",1,"Ambmystri",1
"7",5,"Anocbispinosus",1
"156",10,"Anocbispinosus",1
"27",3,"Anocbispinosus",1
"62",9,"Anocbispinosus",1
"61",4,"Anocbispinosus",1
"61",5,"Anocbispinosus",1
"42",4,"Anocbispinosus",1
"42",5,"Anocbispinosus",1
"42",7,"Anocbispinosus",1
"67",1,"Anocbispinosus",1
"67",10,"Anocbispinosus",1
"143",1,"Anocsp2",1
"143",3,"Anocsp2",1
"156",3,"Anocsp2",1
"156",7,"Anocsp2",1
"151",3,"Anocsp2",1
"151",7,"Anocsp2",1
"155",6,"Anocsp2",1
"61",8,"Anocsp2",1
"153a",2,"Anocsp2",1
"153a",7,"Anocsp2",1
"94",6,"Anocsp2",1
"114",4,"Anocsp2",1
"16",3,"Anocsp2",1
"H",2,"Anocsp2",1
"H",3,"Anocsp2",1
"H",6,"Anocsp2",1
"26",6,"Anocsp2",1
"156",7,"Anocsp3",1
"27",9,"Anocsp3",1
"62",3,"Anocsp3",1
"62",6,"Anocsp3",1
"131",2,"Anocsp3",1
"131",9,"Anocsp3",1
"61",4,"Anocsp3",1
"61",9,"Anocsp3",1
"94",9,"Anocsp3",1
"145",6,"Anocsp3",1
"67",4,"Anocsp3",1
"153",8,"Anocsp3",1
"150",10,"Anocsp3",1
"114",1,"Anocsp3",1
"27",10,"Anocsp4",1
"61",3,"Anocsp4",1
"114",4,"Anocsp4",1
"114",6,"Anocsp4",1
"16",3,"Anocsp4",1
"16",5,"Anocsp4",1
"16",10,"Anocsp4",1
"26",2,"Anocsp4",1
"26",9,"Anocsp4",1
"27",7,"Anocsp5",1
"7",7,"Asphinctanilloidesanae",1
"151",1,"Asphinctanilloidesanae",1
"153a",2,"Aztsp1",1
"153a",3,"Aztsp1",1
"16",6,"Aztsp2",1
"16",6,"Aztsp3",1
"7",3,"Brachsp1",1
"143",3,"Brachsp1",1
"143",4,"Brachsp1",1
"143",5,"Brachsp1",1
"156",1,"Brachsp1",1
"156",2,"Brachsp1",1
"156",5,"Brachsp1",1
"156",6,"Brachsp1",1
"156",7,"Brachsp1",1
"156",8,"Brachsp1",1
"151",3,"Brachsp1",1
"151",4,"Brachsp1",1
"151",5,"Brachsp1",1
"151",6,"Brachsp1",1
"151",7,"Brachsp1",1
"151",9,"Brachsp1",1
"151",10,"Brachsp1",1
"27",2,"Brachsp1",1
"27",3,"Brachsp1",1
"27",5,"Brachsp1",1
"27",9,"Brachsp1",1
"27",10,"Brachsp1",1
"155",5,"Brachsp1",1
"155",7,"Brachsp1",1
"155",10,"Brachsp1",1
