"","Frag","Area_ha","Gado","Extrato","Ponto","Latitude","Longitude","Latitude2","Longitude2","lArea","lArea.rnd","X","Frag","coords.x1","coords.x2","b250","b500","b1000","b2000","b3000","b5000"
"1","114","142.3","A","C","1","9°45'18.16""S","55°58'18.78""O","9°45'18.16""S","55°58'18.78""W",4.95793750509581,6.66848234573804,1,"114",-55.9718833333333,-9.75504444444444,0.995535714285714,0.711883408071749,0.310383431290232,0.19399424682523,0.319512423231599,0.46668088162679
"2","131","24.5","A","C","1","9°39'50.07""S ","56°17'52.33""O","9°39'50.07""S ","56°17'52.33""W",3.19867311755068,2.70136121295141,2,"131",-56.2978694444444,-9.66390833333333,0.597345132743363,0.280089988751406,0.172375070185289,0.247632409680814,0.284279789191381,0.417296229359137
"3","143","4.6","P","C","1","9°54'27.98""S ","56° 3'17.96""O","9°54'27.98""S ","56°3'17.96""W",1.52605630349505,1.98787434815435,3,"143",-56.0549888888889,-9.90777222222222,0.194690265486726,0.0709459459459459,0.121875877562482,0.150192914766749,0.132718549442333,0.171302581825118
"4","145","16","P","C","1"," 9°51'5.67""S ","55°59'5.55""O"," 9°51'5.67""S ","55°59'5.55""W",2.77258872223978,4.58700621536042,4,"145",-55.984875,-9.851575,0.428571428571429,0.191919191919192,0.0978413232408186,0.173093101514302,0.230553477935677,0.28877491470641
"5","150","144805","A","C","1"," 9°35'54.25""S ","55°56'9.07""O"," 9°35'54.25""S ","55°56'9.07""W",11.8831432887243,1.54756250871601,5,"150",-55.9358527777778,-9.59840277777778,1,0.96962879640045,0.951109862320877,0.963942476324097,0.942016780512149,0.91745097598778
"6","151","2.4","P","C","1","9°44'55.90""S  ","56° 1'44.60""O","9°44'55.90""S  ","56°1'44.60""W",0.8754687373539,11.8831432887243,6,"151",-56.0290555555556,-9.74886111111111,0.106194690265487,0.0492170022371365,0.132996632996633,0.240791412334245,0.327223417188815,0.383057999640869
"7","152","25.5","A","C","1","9°56'33.70""S","55°55'43.30""O","9°56'33.70""S","55°55'43.30""W",3.23867845216438,9.58052366593971,7,"152",-55.9286944444444,-9.94269444444445,0.882882882882883,0.32662192393736,0.198766470423325,0.216379189454494,0.219971958248948,0.22955565529623
"8","153","4.7","P","C","1","9°50'22.37""S","56° 0'21.01""O","9°50'22.37""S","56°0'21.01""W",1.54756250871601,4.95793750509581,8,"153",-56.0058361111111,-9.83954722222222,0.220183486238532,0.111856823266219,0.358125175413977,0.227588140464008,0.223684620902598,0.257344524990462
"9","153a","4.7","A","C","1","9°50'39.75""S","56° 0'24.43""O","9°50'39.75""S","56°0'24.43""W",1.54756250871601,3.91202300542815,9,"153a",-56.0067861111111,-9.844375,0.120535714285714,0.13758389261745,0.32978126752664,0.19760185120258,0.17912680357755,0.260443087697246
"10","154","7.3","P","C","1","9°49'27.28""S","55°53'33.42""O","9°49'27.28""S","55°53'33.42""W",1.98787434815435,9.30880013209564,10,"154",-55.8926166666667,-9.82424444444444,0.261261261261261,0.0648769574944072,0.0330439652758331,0.14404937232625,0.200361460800199,0.225966503524763
"11","155","144805","A","C","1","10° 1'13.38""S","56°22'38.15""O","10° 1'13.38""S","56°22'38.15""W",11.8831432887243,1.41098697371026,11,"155",-56.3772638888889,-10.0203833333333,1,1,1,1,0.999844241612411,0.999416667601494
"12","156","4.1","A","C","1","9°54'24.40""S","56° 2'40.58""O","9°54'24.40""S","56°2'40.58""W",1.41098697371026,4.46590811865458,12,"156",-56.0446055555556,-9.90677777777778,0.160714285714286,0.0905027932960894,0.0445004198152813,0.132688126797111,0.155303502430512,0.180233340812206
"13","16","14480","A","C","1"," 9°41'23.53""S"," 55°56'27.34""O   "," 9°41'23.53""S","55°56'27.34""W",9.58052366593971,1.88706964903238,13,"16",-55.9409277777778,-9.68986944444444,1,0.983183856502242,0.995794785534062,0.994318181818182,0.988744075829384,0.819141291655439
"14","26","87","A","C","1"," 9°53'40.60""S   ","56°16'32.56""O"," 9°53'40.60""S   ","56°16'32.56""W",4.46590811865458,3.06805293513362,14,"26",-56.2757111111111,-9.89461111111111,1,0.859569648924122,0.301262272089762,0.183684911346275,0.221602418274175,0.31352691138701
"15","27","11034.7","A","C","1"," 9°49'44.12""S","56°19'50.61""O"," 9°49'44.12""S","56°19'50.61""W",9.30880013209564,2.77258872223978,15,"27",-56.330725,-9.82892222222222,1,1,1,0.905035769392622,0.909858803727831,0.702961740906591
"16","29","787.2","A","C","1","9°56'52.52""S   ","56° 3'1.82""O","9°56'52.52""S   ","56°3'1.82""W",6.66848234573804,5.35517017814082,16,"29",-56.0505055555556,-9.94792222222222,1,1,0.74292915149818,0.36048794167134,0.235119975070115,0.164620873819088
"17","42","14.9","P","C","1","9°46'55.27""S  ","56° 2'13.74""O","9°46'55.27""S  ","56°2'13.74""W",2.70136121295141,4.66532410880784,17,"42",-56.03715,-9.78201944444444,0.666666666666667,0.267115600448934,0.166573191250701,0.111165661383083,0.109386202811808,0.168849239746395
"18","48","211.7","A","C","1","9°58'45.94""S","56° 5'30.87""O","9°58'45.94""S","56°5'30.87""W",5.35517017814082,1.54756250871601,18,"48",-56.0919083333333,-9.97942777777778,0.746666666666667,0.761529808773903,0.452020202020202,0.196411047245198,0.154066598137246,0.184987828272063
"19","61","106.2","A","C","1","9°47'56.78""S","55°55'31.56""O","9°47'56.78""S","55°55'31.56""W",4.66532410880784,1.52605630349505,19,"61",-55.9254333333333,-9.79910555555556,1,0.855865921787709,0.319471761730823,0.211043289132113,0.201290403017174,0.265815822557471
"20","62","899.8","A","C","1","9°53'15.18""S","55°59'43.07""O","9°53'15.18""S","55°59'43.07""W",6.80217251640707,3.23867845216438,20,"62",-55.9952972222222,-9.88755,1,0.993281075027996,0.902411665731913,0.479217775285624,0.355593642879402,0.19416484318016
