,x
1,Adelastes hylonomos
2,Adelophryne adiastola
3,Adelophryne baturitensis
4,Adelophryne gutturosa
5,Adelophryne maranguapensis
6,Adelophryne pachydactyla
7,Adelophryne patamona
8,Adelphobates castaneoticus
9,Adelphobates galactonotus
10,Adelphobates quinquevittatus
11,Adenomera ajurauna
12,Adenomera andreae
13,Adenomera araucaria
14,Adenomera bokermanni
15,Adenomera coca
16,Adenomera diptyx
17,Adenomera heyeri
18,Adenomera hylaedactyla
19,Adenomera lutzi
20,Adenomera marmorata
21,Adenomera martinezi
22,Adenomera nana
23,Adenomera thomei
24,Agalychnis aspera
25,Agalychnis buckleyi
26,Agalychnis callidryas
27,Agalychnis danieli
28,Agalychnis granulosa
29,Agalychnis hulli
30,Agalychnis lemur
31,Agalychnis medinae
32,Agalychnis psilopygion
33,Agalychnis spurrelli
34,Agalychnis terranova
35,Allobates alessandroi
36,Allobates algorei
37,Allobates bromelicola
38,Allobates brunneus
39,Allobates caeruleodactylus
40,Allobates caribe
41,Allobates cepedai
42,Allobates conspicuus
43,Allobates crombiei
44,Allobates femoralis
45,Allobates fratisenescus
46,Allobates fuscellus
47,Allobates gasconi
48,Allobates goianus
49,Allobates granti
50,Allobates humilis
51,Allobates ignotus
52,Allobates insperatus
53,Allobates juanii
54,Allobates kingsburyi
55,Allobates mandelorum
56,Allobates marchesianus
57,Allobates masniger
58,Allobates mcdiarmidi
59,Allobates melanolaemus
60,Allobates myersi
61,Allobates nidicola
62,Allobates niputidea
63,Allobates olfersioides
64,Allobates ornatus
65,Allobates paleovarzensis
66,Allobates picachos
67,Allobates pittieri
68,Allobates ranoides
69,Allobates sanmartini
70,Allobates spumaponens
71,Allobates subfolionidificans
72,Allobates sumtuosus
73,Allobates talamancae
74,Allobates trilineatus
75,Allobates undulatus
76,Allobates vanzolinius
77,Allobates wayuu
78,Allobates zaparo
79,Allophryne ruthveni
80,Alsodes australis
81,Alsodes barrioi
82,Alsodes cantillanensis
83,Alsodes coppingeri
84,Alsodes gargola
85,Alsodes hugoi
86,Alsodes igneus
87,Alsodes kaweshkari
88,Alsodes montanus
89,Alsodes monticola
90,Alsodes neuquensis
91,Alsodes nodosus
92,Alsodes norae
93,Alsodes pehuenche
94,Alsodes tumultuosus
95,Alsodes valdiviensis
96,Alsodes vanzolinii
97,Alsodes verrucosus
98,Alsodes vittatus
99,Amazophrynella bokermanni
100,Amazophrynella minuta
101,Ameerega bassleri
102,Ameerega berohoka
103,Ameerega bilinguis
104,Ameerega boehmei
105,Ameerega boliviana
106,Ameerega braccata
107,Ameerega cainarachi
108,Ameerega flavopicta
109,Ameerega hahneli
110,Ameerega ignipedis
111,Ameerega ingeri
112,Ameerega macero
113,Ameerega parvula
114,Ameerega pepperi
115,Ameerega petersi
116,Ameerega picta
117,Ameerega planipaleae
118,Ameerega pongoensis
119,Ameerega pulchripecta
120,Ameerega rubriventris
121,Ameerega shihuemoy
122,Ameerega silverstonei
123,Ameerega simulans
124,Ameerega smaragdina
125,Ameerega trivittata
126,Ameerega yoshina
127,Ameerega yungicola
128,Andinobates abditus
129,Andinobates altobueyensis
130,Andinobates bombetes
131,Andinobates daleswansoni
132,Andinobates dorisswansonae
133,Andinobates fulguritus
134,Andinobates minutus
135,Andinobates opisthomelas
136,Andinobates tolimensis
137,Andinobates victimatus
138,Andinobates viridis
139,Andinobates virolinensis
140,Anomaloglossus ayarzaguenai
141,Anomaloglossus baeobatrachus
142,Anomaloglossus beebei
143,Anomaloglossus blanci
144,Anomaloglossus breweri
145,Anomaloglossus degranvillei
146,Anomaloglossus dewynteri
147,Anomaloglossus guanayensis
148,Anomaloglossus kaiei
149,Anomaloglossus leopardus
150,Anomaloglossus moffetti
151,Anomaloglossus murisipanensis
152,Anomaloglossus parimae
153,Anomaloglossus parkerae
154,Anomaloglossus praderioi
155,Anomaloglossus roraima
156,Anomaloglossus rufulus
157,Anomaloglossus shrevei
158,Anomaloglossus stepheni
159,Anomaloglossus surinamensis
160,Anomaloglossus tamacuarensis
161,Anomaloglossus tepuyensis
162,Anomaloglossus triunfo
163,Anomaloglossus wothuja
164,Aparasphenodon bokermanni
165,Aparasphenodon brunoi
166,Aparasphenodon venezolanus
167,Aplastodiscus albofrenatus
168,Aplastodiscus albosignatus
169,Aplastodiscus arildae
170,Aplastodiscus callipygius
171,Aplastodiscus cavicola
172,Aplastodiscus cochranae
173,Aplastodiscus ehrhardti
174,Aplastodiscus eugenioi
175,Aplastodiscus flumineus
176,Aplastodiscus ibirapitanga
177,Aplastodiscus leucopygius
178,Aplastodiscus musicus
179,Aplastodiscus perviridis
180,Aplastodiscus sibilatus
181,Aplastodiscus weygoldti
182,Arcovomer passarellii
183,Argenteohyla siemersi
184,Aromobates alboguttatus
185,Aromobates cannatellai
186,Aromobates capurinensis
187,Aromobates duranti
188,Aromobates ericksonae
189,Aromobates haydeeae
190,Aromobates leopardalis
191,Aromobates mayorgai
192,Aromobates meridensis
193,Aromobates molinarii
194,Aromobates nocturnus
195,Aromobates ornatissimus
196,Aromobates orostoma
197,Aromobates saltuensis
198,Aromobates serranus
199,Aromobates tokuko
200,Aromobates walterarpi
201,Aromobates zippeli
202,Atelognathus ceii
203,Atelognathus nitoi
204,Atelognathus patagonicus
205,Atelognathus praebasalticus
206,Atelognathus reverberii
207,Atelognathus salai
208,Atelognathus solitarius
209,Atelopus andinus
210,Atelopus angelito
211,Atelopus ardila
212,Atelopus arsyecue
213,Atelopus arthuri
214,Atelopus balios
215,Atelopus bomolochos
216,Atelopus boulengeri
217,Atelopus carauta
218,Atelopus carbonerensis
219,Atelopus carrikeri
220,Atelopus chocoensis
221,Atelopus chrysocorallus
222,Atelopus coynei
223,Atelopus cruciger
224,Atelopus dimorphus
225,Atelopus ebenoides
226,Atelopus elegans
227,Atelopus epikeisthos
228,Atelopus erythropus
229,Atelopus eusebianus
230,Atelopus eusebiodiazi
231,Atelopus exiguus
232,Atelopus famelicus
233,Atelopus farci
234,Atelopus flavescens
235,Atelopus franciscus
236,Atelopus galactogaster
237,Atelopus gigas
238,Atelopus glyphus
239,Atelopus guanujo
240,Atelopus guitarraensis
241,Atelopus halihelos
242,Atelopus ignescens
243,Atelopus laetissimus
244,Atelopus loettersi
245,Atelopus longibrachius
246,Atelopus longirostris
247,Atelopus lozanoi
248,Atelopus lynchi
249,Atelopus mandingues
250,Atelopus marinkellei
251,Atelopus mindoensis
252,Atelopus minutulus
253,Atelopus mittermeieri
254,Atelopus monohernandezii
255,Atelopus mucubajiensis
256,Atelopus muisca
257,Atelopus nahumae
258,Atelopus nanay
259,Atelopus nepiozomus
260,Atelopus nicefori
261,Atelopus nocturnus
262,Atelopus onorei
263,Atelopus orcesi
264,Atelopus oxapampae
265,Atelopus oxyrhynchus
266,Atelopus pachydermus
267,Atelopus palmatus
268,Atelopus pastuso
269,Atelopus patazensis
270,Atelopus pedimarmoratus
271,Atelopus peruensis
272,Atelopus petersi
273,Atelopus petriruizi
274,Atelopus pictiventris
275,Atelopus pinangoi
276,Atelopus planispina
277,Atelopus podocarpus
278,Atelopus pulcher
279,Atelopus pyrodactylus
280,Atelopus quimbaya
281,Atelopus reticulatus
282,Atelopus sanjosei
283,Atelopus seminiferus
284,Atelopus sernai
285,Atelopus simulatus
286,Atelopus siranus
287,Atelopus sonsonensis
288,Atelopus sorianoi
289,Atelopus spumarius
290,Atelopus spurrelli
291,Atelopus subornatus
292,Atelopus tamaense
293,Atelopus tricolor
294,Atelopus vogli
295,Atelopus walkeri
296,Atopophrynus syntomopus
297,Barycholos pulcher
298,Barycholos ternetzi
299,Batrachyla antartandica
300,Batrachyla fitzroya
301,Batrachyla leptopus
302,Batrachyla nibaldoi
303,Batrachyla taeniata
304,Boana aguilari
305,Boana albomarginata
306,Boana albonigra
307,Boana albopunctata
308,Boana alemani
309,Boana atlantica
310,Boana balzani
311,Boana beckeri
312,Boana bischoffi
313,Boana boans
314,Boana buriti
315,Boana caingua
316,Boana calcarata
317,Boana callipleura
318,Boana cinerascens
319,Boana cipoensis
320,Boana claresignata
321,Boana clepsydra
322,Boana cordobae
323,Boana crepitans
324,Boana curupi
325,Boana cymbalum
326,Boana dentei
327,Boana ericae
328,Boana exastis
329,Boana faber
330,Boana fasciata
331,Boana freicanecae
332,Boana fuentei
333,Boana geographica
334,Boana gladiator
335,Boana goiana
336,Boana guentheri
337,Boana hobbsi
338,Boana hutchinsi
339,Boana jimenezi
340,Boana joaquini
341,Boana lanciformis
342,Boana latistriata
343,Boana lemai
344,Boana leptolineata
345,Boana leucocheila
346,Boana lundii
347,Boana marginata
348,Boana marianitae
349,Boana melanopleura
350,Boana microderma
351,Boana multifasciata
352,Boana nympha
353,Boana ornatissima
354,Boana palaestes
355,Boana pardalis
356,Boana pellucens
357,Boana phaeopleura
358,Boana picturata
