"","Group.1","Visibility","Traits.ID","Genus","Morphospecies","Contributor","Latitude","Longitude","Caste","N","Head.width.across.eyes..mm.","Head.length..mm.","Clypeus.length..mm.","Mandible.length..mm.","Hind.femur.length..mm.","Scape.length..mm.","Weber.s.length..mm.","Pronotum.width..mm.","Inter.ocular.width..mm.","Max.eye.width..mm.","Whole.body.length..mm.","Sculpturing","Pilosity....","Number.of.Spines....","Dominant.colour.head..Fig..16.","Dominant.colour.mesosoma..Fig..16.","Dominant.colour.gaster..Fig..16.","Polymorphism","Queen.number","Worker.number....","Colony.type","Colony.founding","Nest.Site","Activity","Diet","Notes","Species","Invasive.To.Political.Region1","Political.Region1","Continent","username","Date.Of.Upload","Batch","Batch.Name"
"Acanthognathus","Acanthognathus","Public","Baccaro_noyear_traits_135","Acanthognathus","False","Baccaro, Fabricio",1.4686,-61.0247,"Worker",1,0.612,0.79,0.233333333333333,0.713333333333333,0.748,0.65,0.782,0.316666666666667,0.446666666666667,0.118,NA,NA,NA,NA,NA,NA,NA,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Specialist predator (6)","mek 45047a","ocellatus","Native*",NA,NA,"bgrossman","2017-02-23",140.8,"Traits_4_February_2017"
"Acromyrmex","Acromyrmex","Public","Baccaro_noyear_traits_104","Acromyrmex","False","Baccaro, Fabricio",-9.25285,-44.78424333,"Worker",1.8,1.838,1.482,0.548,1.084,2.578,1.784,2.254,1.046,1.578,0.246,NA,NA,18,8.5,21,21.25,22.25,NA,NA,NA,NA,NA,NA,NA,"Fungivore (7)",NA,"aspersus","Native*","Brazil","South America","bgrossman","2017-02-23",151.8,"Traits_4_February_2017"
"Acropyga","Acropyga","Public","Donoso_2014_traits_78","Acropyga","False","Donoso, David",NA,NA,"Worker",1,0.428333333333333,0.353333333333333,NA,NA,0.273333333333333,NA,0.451666666666667,NA,NA,0.0233333333333333,NA,NA,NA,NA,NA,NA,NA,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","104164_VBC","exsanguis","Native*",NA,NA,"bgrossman","2017-02-23",141,"Traits_4_February_2017"
"Amblyopone","Amblyopone","Public","Baccaro_noyear_traits_110","Amblyopone","False","Baccaro, Fabricio",NA,NA,"Worker",1,0.745,0.825,0.07,0.71,0.555,0.47,1.115,0.375,0.665,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"armigera","Native*",NA,NA,"bgrossman","2017-02-23",141,"Traits_4_February_2017"
"Anochetus","Anochetus","Public","Andersen&Hoffmann_2011_traits_112","Anochetus","False","Donoso, David",-1.3066952173913,128.996367095652,"Worker",1.12121212121212,1.08974473944828,1.15035053770968,0.162237664235294,0.816369711,1.16514480325,1.13138461551724,1.70294341515152,0.637634032772727,0.850651153,0.190135897533333,4.825,2,7.6,1.66666666666667,19.1,19.2,19.4,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","diegensis","Native*","China","Asia","bgrossman","2017-02-22",143.818181818182,"Traits_1_February 2017"
"Anochetus.1","Anochetus","Public","Andersen&Hoffmann_2011_traits_112","Anochetus","False","Donoso, David",-1.3066952173913,128.996367095652,"Worker",1.12121212121212,1.08974473944828,1.15035053770968,0.162237664235294,0.816369711,1.16514480325,1.13138461551724,1.70294341515152,0.637634032772727,0.850651153,0.190135897533333,4.825,2,7.6,1.66666666666667,19.1,19.2,19.4,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","diegensis","Native*","China","Asia","bgrossman","2017-02-22",143.818181818182,"Traits_1_February 2017"
"Anochetus.2","Anochetus","Public","Andersen&Hoffmann_2011_traits_112","Anochetus","False","Donoso, David",-1.3066952173913,128.996367095652,"Worker",1.12121212121212,1.08974473944828,1.15035053770968,0.162237664235294,0.816369711,1.16514480325,1.13138461551724,1.70294341515152,0.637634032772727,0.850651153,0.190135897533333,4.825,2,7.6,1.66666666666667,19.1,19.2,19.4,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","diegensis","Native*","China","Asia","bgrossman","2017-02-22",143.818181818182,"Traits_1_February 2017"
"Anochetus.3","Anochetus","Public","Andersen&Hoffmann_2011_traits_112","Anochetus","False","Donoso, David",-1.3066952173913,128.996367095652,"Worker",1.12121212121212,1.08974473944828,1.15035053770968,0.162237664235294,0.816369711,1.16514480325,1.13138461551724,1.70294341515152,0.637634032772727,0.850651153,0.190135897533333,4.825,2,7.6,1.66666666666667,19.1,19.2,19.4,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","diegensis","Native*","China","Asia","bgrossman","2017-02-22",143.818181818182,"Traits_1_February 2017"
"Anochetus.4","Anochetus","Public","Andersen&Hoffmann_2011_traits_112","Anochetus","False","Donoso, David",-1.3066952173913,128.996367095652,"Worker",1.12121212121212,1.08974473944828,1.15035053770968,0.162237664235294,0.816369711,1.16514480325,1.13138461551724,1.70294341515152,0.637634032772727,0.850651153,0.190135897533333,4.825,2,7.6,1.66666666666667,19.1,19.2,19.4,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","diegensis","Native*","China","Asia","bgrossman","2017-02-22",143.818181818182,"Traits_1_February 2017"
"Apterostigma","Apterostigma","Public","Baccaro_noyear_traits_14","Apterostigma","True","Baccaro, Fabricio",-6.1970431675,-56.9449493325,"Worker",2,0.744,0.97,0.26,0.545,1.3925,0.905,1.392,0.5625,0.6525,0.1475,NA,NA,55,0,19,19,20,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","203648","pilosum","Native*","Brazil","South America","bgrossman","2017-02-23",145.8,"Traits_3_February_2017"
